2447429.9795   -57.2  11.0
2447430.8745   -46.3   7.5
2447459.9282   -46.8  18.6
2447460.7788   -61.6  20.0
2447495.8505   -61.7  15.0
2447496.8154    -5.3  15.0
2447516.7890    82.5  15.0
2447517.8105   174.7  12.0
2447551.7055    79.8  12.0
2447552.6005    60.4  15.0
2447582.6601   124.7  15.0
2447611.6093   124.2  12.0
2447785.9804   -57.4  12.0
2447786.9423    -3.8   5.0
2447787.8564    49.4   8.8
2447813.9350   -83.3  12.0
2447814.8994  -126.5  10.0
2447879.8295   -76.6  12.0
2447894.7841   -62.1  15.0
2447895.7368   -64.6  12.0
2447935.6987  -171.2  12.0
2447957.5781  -215.4  15.0
2447958.6899  -173.5   9.0
2447959.6293  -194.    7.5
2448000.6250  -195.9   7.5
2448145.9926   142.9  12.0
2448146.9980   162.0  12.0
2448176.9609    95.0  20.0
2448178.9414    48.5  12.0
2448198.9951    97.1  12.0
2448200.9843   249.1  15.0
2448260.7382   130.1  10.0
2448285.7705   121.6  12.0
2448287.7919   142.9  12.0
2448345.6191   201.7  12.0
2448523.8994   -71.0   7.5
2448555.9746  -195.3  15.0
2448557.8896  -166.1   7.6
2448558.7910  -112.5  14.6
2448559.8574   -60.7   5.1
2448591.6933    28.0   7.4
2448607.7333  -296.5   7.7
2448613.8564  -140.2  12.0
2448631.8134  -205.7   7.5
2448635.7939  -219.8   5.0
2448636.8105   -99.0   5.0
2448644.7685    -4.9   7.5
2448672.7177  -128.3   7.5
2448703.6240  -198.9   7.6
2448704.6035  -182.7  15.0
