2453253.3359   -11.0   5.4
2453301.2617   150.6   4.0
2453303.2812   162.3   3.3
2453332.1953   156.5   4.7
2453354.1250   103.9   4.2
2453356.1953   123.9   4.0
2453429.9609   205.7   4.0
2453729.0703  -139.1   4.9
2453759.1250  -181.9   4.3
2453761.0703   -88.8   3.8
2453821.0039   100.6   7.2
2454027.2617   123.1   5.7
2454111.9882   -17.8   4.2
2454123.0468   -53.1   4.1
2454126.0859  -140.3   5.4
2454209.9531  -262.1   6.6
2454382.3515   -18.4   5.7
2454469.9921   163.4   4.3
2454471.9921   192.7   5.9
2454507.0000   251.6   3.1
2454537.0117   194.0   3.2
2454755.3476   -57.3   6.9
2454756.2617   -83.5   7.8
2454847.1875  -107.9   4.7
2454880.1015   -17.2   5.9
2454930.9648  -112.4   4.0
2455171.1250   182.4   6.0
2455248.0156   143.0   5.6
2455251.0742    77.1   4.5
2455454.3320   -32.2   5.1
2455554.0664  -240.0   4.7
2455581.1015  -184.0   6.7
2455842.3320   148.9   6.3
2455932.9882   152.3   5.6
2455962.9453    23.9   5.8
2456023.9453  -108.2  36.4
2456176.3281   -27.4   4.4
2456257.9960  -136.1   6.6
2456288.0820   -16.7   5.2
2456376.9570    90.2   4.0
2456377.9960    90.1   4.0
2456552.2226    61.7   6.3
