2447533.6953    39.3  32.3
2448563.8785  -284.2  22.0
2448580.8506  -114.8  59.6
2448621.8210   -98.6  14.8
2448638.7093  -138.1  12.4
2448639.6839  -208.6  32.5
2448640.7434  -153.1  13.1
2448641.7160  -175.8  11.8
2448643.6215  -211.2  25.4
2448647.7046   -87.5  16.9
2448828.9868    34.3  21.9
2448829.9920   101.8  33.3
2448831.0140    46.3  14.8
2448831.9793   -11.9  19.3
2448833.0160    29.5  14.0
2448877.9797   195.0  38.7
2448879.0493     9.9  30.7
2448881.0524    97.3  22.7
2448919.7802   137.8  25.3
2448921.0926   116.7  24.3
2448922.0433   135.0  19.9
2448955.8471    76.8  24.8
2448957.8805   179.2  30.8
2449003.7779   173.8  15.0
2449004.5585   144.3  18.2
2449005.5411   114.5  16.3
2449006.6397   103.3  19.8
2449053.5878   -36.7  22.0
2449077.6181   213.4  15.2
2449079.6309   179.6  18.0
2449081.6194   166.0  11.5
2449089.6298   111.5  35.2
2449187.0175  -162.5  24.0
2449220.0447   -51.3  15.8
2449225.0493  -139.7  30.8
2449226.0483  -164.3  24.3
